Alderson,ALDR
Alloy,ALLY
Alum Creek,ALCK
Ansted,ANST
Apple Grove,APGV
Barboursville,BAVL
Beckley,BCKL
Beech Bottom,BHBT
Belington,BLTN
Belle,BLLE
Berkeley Springs,BRSP
Bethany,BTHN
Bradshaw,BRDS
Brandywine,BRND
Bridgeport,BRPT
Brushton,BSTO
Buckhannon,BCKH
Buffalo,BFLO
Burnsville,BRVL
Chapmanville,CHVL
Charleston,CHTN
Cheat Lake,CHLK
Chester,CHES
Clarksburg,CLBG
Clendenin,CLND
Craigsville,CRVI
Dallison,DLSN
Delbarton,DLTN
Dunbar,DUNB
East Bank,EBNK
Elizabeth,ELZB
Elkins,EKNS
Elkview,EKVW
Fairmont,FAMT
Fairview,FRVW
Falling Waters,FLWT
Farmington,FRTN
Fayetteville,FYVL
Flat Top,FLTP
Follansbee,FLNS
Fort Gay,FTGY
Franklin,FKLN
Gassaway,GSWY
Gauley Bridge,GYBR
Gilbert,GLBR
Glen Daniel,GLDN
Glenville,GLVL
Gormania,GRMN
Grafton,GFTN
Greenville,GNVL
Griffithsville,GRVL
Gum Springs,GMSP
Hedgesville,HDVL
Hinton,HITN
Holden,HLDN
Huntington,HNTN
Huntington West,HNWT
Hurricane,HRCN
Iaeger,IAGR
Inwood,INWD
Jane Lew,JNLW
Kanawha City,KNCY
Kermit,KRMT
Keyser,KYSR
Kingwood,KGWD
Lewisburg,LWBG
Logan,LOGN
Lubeck,LBCK
Madison,MDSN
Man,MANW
Mannington,MNTN
Martinsburg,MRBG
Mason,MASN
Matewan,MTWN
Meadow Bridge,MDBR
Middlebourne,MDLB
Milton,MLTN
Mineral Wells,MNWL
Monongah,MNGH
Montgomery,MTGM
Morgantown,MGTW
Moundsville,MNVL
Mount Hope,MTHP
Mullens,MLNS
New Cumberland,NCLD
New Martinsville,NWMR
Newburg,NWBG
Nitro,NITR
Oak Hill,OKHL
Oceana,OCEN
Omar,OMAR
Paden City,PDCY
Parkersburg,PRBG
Pennsboro,PNBO
Peterstown,PRTW
Philippi,PHLP
Piedmont,PDMT
Pineville,PIVL
Pocatalico,PCTL
Point Pleasant,PTPL
Rainelle,RANL
Ravenswood,RVWD
Richwood,RCWD
Ripley,RPLY
Rivesville,RVVL
Rock Cave,RKCV
Rowlesburg,RWBG
Salem,SALM
Scott Depot,SCDP
Seth,SETH
Shady Spring,SHSP
Shinnston,SNTN
Sissonville,SSVL
Sistersville,STVL
Sophia,SOPH
South Charleston,SCTN
Spencer,SPNC
St Albans,STAL
Summersville,SMVI
Suncrest,SNCR
Sutton,STTN
Terra Alta,TRRA
Tunnelton,TNTN
Tyler Heights,TYHG
Union,UNIN
Valley Grove,VYGV
Valley Mills,VLML
Vienna,VINN
Walton,WLTN
Warwood,WRWD
Weirton,WRTN
Weirton Heights,WTHT
Wellsburg,WSBG
West Liberty,WLBT
West Milford,WMFR
West Union,WUNN
Weston,WSTN
Wharton,WHTN
Wheeling,WLNG
White Sulphur Spring,WSSP
Whitesville,WHVL
Williamson,WMSN
Williamstown,WLTW
Winfield,WNFD
Woodsdale,WDDL
